congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
106,President,99909,99,0,USA,100,0,0,"CLINTON, William Jefferson (Bill)",,1946,,-0.438,0.033,-44.00832,0.743,148,17,,,
106,Senate,49700,41,0,AL,200,0,1,"SESSIONS, Jefferson Beauregard III (Jeff)",S001141,1946,,0.549,0.13,-93.31929,0.83994,535,50,,0.497,0.146
106,Senate,94659,41,0,AL,200,0,1,"SHELBY, Richard C.",S000320,1934,,0.429,0.519,-101.76877,0.82678,535,42,,0.415,0.578
106,Senate,12109,81,0,AK,200,0,1,"STEVENS, Theodore Fulton (Ted)",S000888,1923,2010.0,0.219,-0.5,-126.02232,0.79,536,44,,0.253,-0.165
106,Senate,14907,81,0,AK,200,0,1,"MURKOWSKI, Frank Hughes",M001085,1933,,0.346,-0.275,-77.92792,0.861,520,24,,0.416,0.029
106,Senate,15039,61,0,AZ,200,0,1,"McCAIN, John Sidney, III",M000303,1936,2018.0,0.381,-0.626,-147.1955,0.68159,384,66,,0.347,-0.938
106,Senate,15429,61,0,AZ,200,0,1,"KYL, Jon Llewellyn",K000352,1942,,0.548,-0.413,-87.09158,0.85029,537,40,,0.507,-0.659
106,Senate,29305,42,0,AR,100,0,1,"LINCOLN, Blanche Lambert",L000035,1960,,-0.166,0.178,-137.64093,0.774,537,64,,-0.185,0.231
106,Senate,29306,42,0,AR,200,0,1,"HUTCHINSON, Timothy",H001015,1949,,0.419,0.072,-102.66917,0.821,521,53,,0.458,-0.13
106,Senate,15011,71,0,CA,100,0,1,"BOXER, Barbara",B000711,1940,,-0.45,-0.423,-76.37585,0.862,514,36,,-0.51,-0.428
106,Senate,49300,71,0,CA,100,0,1,"FEINSTEIN, Dianne",F000062,1933,,-0.268,-0.192,-101.07816,0.82053,511,43,,-0.233,-0.141
106,Senate,29108,62,0,CO,200,0,1,"ALLARD, A. Wayne",A000109,1943,,0.572,-0.121,-73.86944,0.871,536,30,,0.594,-0.108
106,Senate,95407,62,0,CO,200,0,1,"CAMPBELL, Ben Nighthorse",C000077,1933,,0.23,0.132,-154.74792,0.748,533,64,,0.327,0.421
106,Senate,14213,1,0,CT,100,0,1,"DODD, Christopher John",D000388,1944,,-0.328,-0.317,-96.21898,0.83,515,43,,-0.298,-0.36
106,Senate,15704,1,0,CT,100,0,1,"LIEBERMAN, Joseph I.",L000304,1942,,-0.205,-0.312,-119.10115,0.784,490,54,,-0.22,-0.378
106,Senate,11044,11,0,DE,200,0,1,"ROTH, William Victor, Jr.",R000460,1921,2003.0,0.272,-0.39,-161.94028,0.732,519,63,,0.208,-0.622
