congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
105,President,99909,99,0,USA,100,0,0,"CLINTON, William Jefferson (Bill)",,1946,,-0.438,0.033,-46.63111,0.774,182,20,,,
105,Senate,49700,41,0,AL,200,0,1,"SESSIONS, Jefferson Beauregard III (Jeff)",S001141,1946,,0.549,0.13,-69.71238,0.86482,480,30,,0.582,0.231
105,Senate,94659,41,0,AL,200,0,1,"SHELBY, Richard C.",S000320,1934,,0.429,0.519,-118.97655,0.78206,484,54,,0.416,0.511
105,Senate,12109,81,0,AK,200,0,1,"STEVENS, Theodore Fulton (Ted)",S000888,1923,2010.0,0.219,-0.5,-129.695,0.765,484,56,,0.226,-0.327
105,Senate,14907,81,0,AK,200,0,1,"MURKOWSKI, Frank Hughes",M001085,1933,,0.346,-0.275,-88.13124,0.828,468,34,,0.338,0.073
105,Senate,15039,61,0,AZ,200,0,1,"McCAIN, John Sidney, III",M000303,1936,2018.0,0.381,-0.626,-161.71135,0.70679,466,72,,0.376,-0.927
105,Senate,15429,61,0,AZ,200,0,1,"KYL, Jon Llewellyn",K000352,1942,,0.548,-0.413,-83.55917,0.83838,474,39,,0.579,-0.518
105,Senate,14300,42,0,AR,100,0,1,"BUMPERS, Dale",B001057,1925,2016.0,-0.362,0.389,-139.84749,0.748,482,67,,-0.423,0.006
105,Senate,29306,42,0,AR,200,0,1,"HUTCHINSON, Timothy",H001015,1949,,0.419,0.072,-112.16535,0.787,469,44,,0.509,0.071
105,Senate,15011,71,0,CA,100,0,1,"BOXER, Barbara",B000711,1940,,-0.45,-0.423,-100.04284,0.811,477,51,,-0.376,-0.358
105,Senate,49300,71,0,CA,100,0,1,"FEINSTEIN, Dianne",F000062,1933,,-0.268,-0.192,-123.18115,0.77448,482,48,,-0.255,-0.137
105,Senate,29108,62,0,CO,200,0,1,"ALLARD, A. Wayne",A000109,1943,,0.572,-0.121,-84.32764,0.84,485,38,,0.556,-0.16
105,Senate,95407,62,0,CO,200,0,1,"CAMPBELL, Ben Nighthorse",C000077,1933,,0.23,0.132,-165.02255,0.711,483,73,,0.249,0.172
105,Senate,14213,1,0,CT,100,0,1,"DODD, Christopher John",D000388,1944,,-0.328,-0.317,-113.21926,0.791,482,54,,-0.289,-0.338
105,Senate,15704,1,0,CT,100,0,1,"LIEBERMAN, Joseph I.",L000304,1942,,-0.205,-0.312,-160.84986,0.716,482,76,,-0.19,-0.305
