congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
107,President,99910,99,0,USA,200,0,0,"BUSH, George Walker",,1946,,0.693,-0.539,-17.05834,0.866,119,9,,,
107,Senate,49700,41,0,AL,200,0,1,"SESSIONS, Jefferson Beauregard III (Jeff)",S001141,1946,,0.549,0.13,-111.5149,0.7779,444,57,,0.476,0.309
107,Senate,94659,41,0,AL,200,0,1,"SHELBY, Richard C.",S000320,1934,,0.429,0.519,-111.76879,0.77877,447,57,,0.362,0.527
107,Senate,12109,81,0,AK,200,0,1,"STEVENS, Theodore Fulton (Ted)",S000888,1923,2010.0,0.219,-0.5,-118.99235,0.749,412,52,,0.276,-0.18
107,Senate,14907,81,0,AK,200,0,1,"MURKOWSKI, Frank Hughes",M001085,1933,,0.346,-0.275,-81.34124,0.824,420,30,,0.383,0.038
107,Senate,15039,61,0,AZ,200,0,1,"McCAIN, John Sidney, III",M000303,1936,2018.0,0.381,-0.626,-281.7081,0.52869,442,122,,0.214,-0.977
107,Senate,15429,61,0,AZ,200,0,1,"KYL, Jon Llewellyn",K000352,1942,,0.548,-0.413,-86.77939,0.82636,455,44,,0.651,-0.429
107,Senate,29305,42,0,AR,100,0,1,"LINCOLN, Blanche Lambert",L000035,1960,,-0.166,0.178,-130.52113,0.751,455,55,,-0.159,0.339
107,Senate,29306,42,0,AR,200,0,1,"HUTCHINSON, Timothy",H001015,1949,,0.419,0.072,-124.3386,0.757,446,53,,0.329,0.123
107,Senate,15011,71,0,CA,100,0,1,"BOXER, Barbara",B000711,1940,,-0.45,-0.423,-64.2756,0.865,442,24,,-0.484,-0.44
107,Senate,49300,71,0,CA,100,0,1,"FEINSTEIN, Dianne",F000062,1933,,-0.268,-0.192,-120.47174,0.76603,452,58,,-0.231,-0.277
107,Senate,29108,62,0,CO,200,0,1,"ALLARD, A. Wayne",A000109,1943,,0.572,-0.121,-85.71843,0.828,454,37,,0.526,-0.084
107,Senate,95407,62,0,CO,200,0,1,"CAMPBELL, Ben Nighthorse",C000077,1933,,0.23,0.132,-114.10963,0.772,442,51,,0.304,0.33
107,Senate,14213,1,0,CT,100,0,1,"DODD, Christopher John",D000388,1944,,-0.328,-0.317,-82.47034,0.831,445,32,,-0.372,-0.193
107,Senate,15704,1,0,CT,100,0,1,"LIEBERMAN, Joseph I.",L000304,1942,,-0.205,-0.312,-116.32529,0.771,448,42,,-0.274,-0.222
107,Senate,14101,11,0,DE,100,0,1,"BIDEN, Joseph Robinette, Jr.",B000444,1942,,-0.314,-0.042,-100.28553,0.8,449,43,,-0.289,-0.204
107,Senate,15015,11,0,DE,100,0,1,"CARPER, Thomas Richard",C000174,1947,,-0.175,-0.227,-149.52142,0.7194,454,63,,-0.176,-0.199
107,Senate,14651,43,0,FL,100,0,1,"NELSON, Clarence William (Bill)",N000032,1942,,-0.193,0.337,-156.31367,0.70925,455,66,,-0.279,0.177
107,Senate,15503,43,0,FL,100,0,1,"GRAHAM, Daniel Robert (Bob)",G000352,1936,,-0.231,-0.012,-131.31551,0.75,457,53,,-0.262,-0.096
107,Senate,49701,44,0,GA,100,0,1,"CLELAND, Joseph Maxwell (Max)",C001034,1942,,-0.22,0.302,-145.51495,0.726,455,76,,-0.171,0.37
107,Senate,49904,44,0,GA,100,0,1,"MILLER, Zell Bryan",M001141,1932,,0.146,0.105,-159.62018,0.693,436,87,,0.063,0.213
107,Senate,4812,82,0,HI,100,0,1,"INOUYE, Daniel Ken",I000025,1924,2012.0,-0.319,0.062,-79.23401,0.831,428,34,,-0.368,0.295
107,Senate,14400,82,0,HI,100,0,1,"AKAKA, Daniel Kahikina",A000069,1924,,-0.419,0.273,-64.31883,0.86,428,26,,-0.402,0.341
107,Senate,14809,63,0,ID,200,0,1,"CRAIG, Larry Edwin",C000858,1945,,0.494,-0.014,-69.42352,0.858,452,38,,0.483,0.294
107,Senate,29345,63,0,ID,200,0,1,"CRAPO, Michael Dean",C000880,1951,,0.511,0.295,-84.95728,0.82369,438,41,,0.379,0.105
