congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
110,Senate,1,2007-01-08,1,1,88,0,0.0,0.0,0.0,0.0,0.0,SRES19,Resolution Agreed to,A resolution honoring President Gerald Rudolph Ford.,On the Resolution,
110,Senate,2,2007-01-10,1,2,93,2,0.0,0.0,0.0,0.0,0.0,S1,Amendment Agreed to,"To amend the Ethics in Government Act of 1978 to establish criminal penalties for knowingly and willfully falsifying or failing to file or report certain information required to be reported under that Act, and for other purposes.",On the Amendment,
110,Senate,3,2007-01-10,1,3,56,40,0.194,-0.981,0.275,0.051,-17.538,S1,Motion to Table Agreed to,To modify the application of the Federal Election Campaign Act of 1971 to Indian tribes.,On the Motion to Table,
110,Senate,4,2007-01-10,1,4,54,41,0.125,0.992,0.083,0.013,-55.116,S1,Motion to Table Agreed to,to prohibit authorized committees and leadership PACs from employing the spouse or immediate family members of any candidate or Federal office holder connected to the committee.,On the Motion to Table,
110,Senate,5,2007-01-11,1,5,46,51,0.057,0.089,0.116,-0.176,-42.06,S1,Motion to Table Failed,To strengthen earmark reform.,On the Motion to Table,
110,Senate,6,2007-01-11,1,6,25,72,0.381,-0.267,-0.264,0.008,-24.63,S1,Motion Rejected,To prevent government shutdowns.,On the Motion,
110,Senate,7,2007-01-11,1,7,90,6,0.512,-0.859,0.259,-0.199,-14.378,S1,Motion Agreed to,A bill to provide greater transparency in the legislative process.,On the Motion,
110,Senate,8,2007-01-12,1,8,87,0,0.0,0.0,0.0,0.0,0.0,S1,Amendment Agreed to,"To amend title 5, United States Code, to deny Federal retirement benefits to individuals convicted of certain offenses, and for other purposes.",On the Amendment,
110,Senate,9,2007-01-12,1,9,81,6,0.243,0.97,0.145,0.436,-16.35,S1,Amendment Agreed to,To increase the penalty for failure to comply with lobbying disclosure requirements.,On the Amendment,
110,Senate,10,2007-01-16,1,10,98,0,0.0,0.0,0.0,0.0,0.0,S1,Amendment Agreed to,To strengthen earmark reform.,On the Amendment,
110,Senate,11,2007-01-16,1,11,98,0,0.0,0.0,0.0,0.0,0.0,S1,Amendment Agreed to,To strengthen earmark reform.,On the Amendment,
110,Senate,12,2007-01-16,1,12,95,2,0.0,0.0,0.0,0.0,0.0,S1,Cloture Motion Agreed to,To strengthen the gift and travel bans.,On the Cloture Motion,
110,Senate,13,2007-01-17,1,13,89,5,0.671,0.722,0.347,-0.146,-12.004,S1,Amendment Agreed to,To prohibit lobbyists and entities that retain or employ lobbyists from throwing lavish parties honoring Members at party conventions.,On the Amendment,
110,Senate,14,2007-01-17,1,14,51,46,-0.15,-0.989,-0.216,0.117,-24.775,S1,Amendment Agreed to,To permit travel hosted by preapproved 501(c)(3) organizations.,On the Amendment,
110,Senate,15,2007-01-17,1,15,88,9,0.398,-0.917,0.151,-0.271,-25.115,S1,Amendment Agreed to,To strengthen the gift and travel bans.,On the Amendment,
110,Senate,16,2007-01-17,1,16,51,46,-0.028,-0.995,0.308,-0.137,-10.996,S1,Cloture Motion Rejected,In the nature of a substitute.,On the Cloture Motion,
110,Senate,17,2007-01-18,1,17,55,43,-0.1,-0.389,-0.437,-0.315,-13.531,S1,Amendment Agreed to,To strike a provision relating to paid efforts to stimulate grassroots lobbying.,On the Amendment,
110,Senate,18,2007-01-18,1,18,27,71,0.169,-0.982,0.07,0.283,-48.034,S1,Amendment Rejected,To establish a Senate Office of Public Integrity.,On the Amendment,
