congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
96,President,99906,99,0,USA,100,0,0,"CARTER, James Earl, Jr.",,1924,,-0.504,0.119,-162.52078,0.72,495,80,,,
96,Senate,14705,41,0,AL,100,0,1,"HEFLIN, Howell Thomas",H000445,1921,2005.0,-0.095,0.995,-416.87159,0.622,877,216,,-0.155,0.776
96,Senate,14711,41,0,AL,100,0,1,"STEWART, Donald Wilbur",S000907,1940,,-0.304,0.65,-284.95096,0.697,789,133,,-0.306,0.659
96,Senate,12105,81,0,AK,100,0,1,"GRAVEL, Maurice Robert (Mike)",G000388,1930,,-0.284,0.078,-277.67204,0.602,547,106,,-0.218,0.015
96,Senate,12109,81,0,AK,200,0,1,"STEVENS, Theodore Fulton (Ted)",S000888,1923,2010.0,0.219,-0.5,-392.34722,0.626,839,196,,0.284,-0.572
96,Senate,3658,61,0,AZ,200,0,1,"GOLDWATER, Barry Morris",G000267,1909,1998.0,0.641,-0.289,-257.05782,0.672,646,108,,0.541,-0.304
96,Senate,14502,61,0,AZ,100,0,1,"DeCONCINI, Dennis Webster",D000185,1937,,-0.216,0.564,-381.66477,0.64,855,192,,-0.207,0.518
96,Senate,10791,42,0,AR,100,0,1,"PRYOR, David Hampton",P000556,1934,,-0.322,0.598,-334.18743,0.68,867,164,,-0.205,0.411
96,Senate,14300,42,0,AR,100,0,1,"BUMPERS, Dale",B001057,1925,2016.0,-0.362,0.389,-310.27115,0.689,833,154,,-0.298,0.304
96,Senate,12103,71,0,CA,100,0,1,"CRANSTON, Alan",C000877,1914,2000.0,-0.387,-0.207,-220.58561,0.767,833,94,,-0.397,-0.139
96,Senate,14504,71,0,CA,200,0,1,"HAYAKAWA, Samuel Ichiye",H000384,1906,1992.0,0.433,-0.602,-353.16428,0.664,863,183,,0.404,-0.557
96,Senate,14002,62,0,CO,200,0,1,"ARMSTRONG, William Lester",A000219,1937,2016.0,0.508,-0.14,-232.67696,0.765,867,107,,0.59,-0.219
96,Senate,14305,62,0,CO,100,0,1,"HART, Gary Warren",H000287,1936,,-0.422,0.087,-349.08323,0.663,850,170,,-0.341,0.101
96,Senate,7847,1,0,CT,100,0,1,"RIBICOFF, Abraham Alexander",R000191,1910,1998.0,-0.313,-0.328,-239.41901,0.729,756,121,,-0.369,-0.152
96,Senate,12032,1,0,CT,200,0,1,"WEICKER, Lowell Palmer, Jr.",W000253,1931,,0.072,-0.995,-420.98234,0.602,829,204,,-0.013,-1.0
96,Senate,11044,11,0,DE,200,0,1,"ROTH, William Victor, Jr.",R000460,1921,2003.0,0.272,-0.39,-420.28394,0.624,892,193,,0.327,-0.323
96,Senate,14101,11,0,DE,100,0,1,"BIDEN, Joseph Robinette, Jr.",B000444,1942,,-0.314,-0.042,-297.71707,0.68,771,142,,-0.407,0.126
96,Senate,13101,43,0,FL,100,0,1,"CHILES, Lawton Mainor, Jr.",C000356,1930,1998.0,-0.224,0.555,-337.44987,0.678,867,153,,-0.306,0.733
96,Senate,14309,43,0,FL,100,0,1,"STONE, Richard Bernard",S000962,1928,,-0.169,0.55,-435.29923,0.588,820,231,,-0.136,0.315
96,Senate,9174,44,0,GA,100,0,1,"TALMADGE, Herman Eugene",T000035,1913,2002.0,-0.091,0.996,-243.49276,0.657,580,115,,-0.217,0.926
96,Senate,14108,44,0,GA,100,0,1,"NUNN, Samuel Augustus",N000171,1938,,-0.145,0.754,-324.12159,0.691,877,148,,-0.17,0.768
96,Senate,4812,82,0,HI,100,0,1,"INOUYE, Daniel Ken",I000025,1924,2012.0,-0.319,0.062,-209.594,0.745,713,89,,-0.344,0.211
96,Senate,10605,82,0,HI,100,0,1,"MATSUNAGA, Spark Masayuki",M000250,1916,1990.0,-0.379,-0.032,-225.6844,0.763,833,107,,-0.385,0.082
96,Senate,1721,63,0,ID,100,0,1,"CHURCH, Frank Forrester",C000388,1924,1984.0,-0.384,0.31,-271.16855,0.66,653,133,,-0.293,0.338
96,Senate,11029,63,0,ID,200,0,1,"McCLURE, James Albertus",M000346,1924,2011.0,0.492,0.043,-248.19708,0.747,851,122,,0.584,0.014
96,Senate,11205,21,0,IL,200,0,1,"PERCY, Charles Harting",P000222,1919,2011.0,0.099,-0.861,-339.14934,0.671,849,176,,0.079,-0.793
96,Senate,13102,21,0,IL,100,0,1,"STEVENSON, Adlai Ewing III",S000890,1930,,-0.333,-0.177,-340.78815,0.653,800,161,,-0.376,-0.127
96,Senate,10800,22,0,IN,100,0,1,"BAYH, Birch Evans",B000254,1928,,-0.408,0.042,-248.95763,0.704,710,106,,-0.368,0.054
96,Senate,14506,22,0,IN,200,0,1,"LUGAR, Richard Green",L000504,1932,,0.304,-0.466,-326.64051,0.693,892,145,,0.399,-0.469
96,Senate,10715,31,0,IA,100,0,1,"CULVER, John Chester",C000979,1932,,-0.41,-0.259,-171.86377,0.793,740,65,,-0.403,-0.426
96,Senate,14707,31,0,IA,200,0,1,"JEPSEN, Roger William",J000101,1928,,0.337,-0.012,-240.36429,0.753,849,110,,0.397,-0.13
96,Senate,10513,32,0,KS,200,0,1,"DOLE, Robert Joseph",D000401,1923,,0.322,-0.279,-335.43938,0.684,882,175,,0.239,-0.34
96,Senate,14708,32,0,KS,200,0,1,"KASSEBAUM, Nancy Landon",K000017,1932,,0.2,-0.566,-340.49419,0.672,855,147,,0.246,-0.641
96,Senate,14106,51,0,KY,100,0,1,"HUDDLESTON, Walter Darlington",H000905,1926,,-0.314,0.532,-244.47434,0.737,802,98,,-0.359,0.612
96,Senate,14302,51,0,KY,100,0,1,"FORD, Wendell Hampton",F000268,1924,2015.0,-0.277,0.705,-302.49303,0.702,854,145,,-0.24,0.574
96,Senate,5767,45,0,LA,100,0,1,"LONG, Russell Billiu",L000428,1918,2003.0,-0.18,0.873,-278.12329,0.671,696,117,,-0.182,0.891
96,Senate,14107,45,0,LA,100,0,1,"JOHNSTON, John Bennett, Jr.",J000189,1932,,-0.192,0.765,-299.07652,0.7,840,133,,-0.205,0.855
96,Senate,6831,2,0,ME,100,1,1,"MUSKIE, Edmund Sixtus",M001121,1914,1996.0,-0.379,-0.052,-186.6108,0.673,472,83,,-0.454,0.248
96,Senate,14010,2,0,ME,200,0,1,"COHEN, William Sebastian",C000598,1940,,0.1,-0.615,-381.43363,0.638,850,199,,0.204,-0.769
96,Senate,14713,2,0,ME,100,2,5,"MITCHELL, George John",M000811,1933,,-0.347,-0.03,-104.33602,0.741,348,46,,-0.38,0.113
96,Senate,10535,52,0,MD,200,0,1,"MATHIAS, Charles McCurdy, Jr.",M000241,1922,2010.0,-0.033,-0.999,-227.90111,0.734,738,104,,-0.078,-0.997
96,Senate,13039,52,0,MD,100,0,1,"SARBANES, Paul Spyros",S000064,1933,,-0.435,-0.221,-193.85068,0.807,904,76,,-0.396,-0.416
96,Senate,10808,3,0,MA,100,0,1,"KENNEDY, Edward Moore (Ted)",K000105,1932,2009.0,-0.443,-0.49,-70.28363,0.851,437,26,,-0.427,-0.761
96,Senate,14279,3,0,MA,100,0,1,"TSONGAS, Paul Efthemios",T000393,1941,1997.0,-0.383,-0.498,-195.19301,0.794,845,80,,-0.418,-0.475
96,Senate,11043,23,0,MI,100,0,1,"RIEGLE, Donald Wayne, Jr.",R000249,1938,,-0.426,-0.121,-241.95201,0.761,887,105,,-0.381,-0.372
96,Senate,14709,23,0,MI,100,0,1,"LEVIN, Carl",L000261,1934,,-0.395,-0.116,-247.69107,0.762,913,104,,-0.355,-0.436
96,Senate,14701,33,0,MN,200,0,1,"BOSCHWITZ, Rudolph Eli (Rudy)",B000647,1930,,0.275,-0.734,-380.67463,0.661,918,190,,0.303,-0.843
96,Senate,14703,33,0,MN,200,0,1,"DURENBERGER, David Ferdinand",D000566,1934,,0.115,-0.793,-365.48494,0.655,865,181,,0.144,-0.872
96,Senate,8883,46,0,MS,100,0,1,"STENNIS, John Cornelius",S000852,1901,1995.0,-0.056,0.998,-317.27919,0.662,770,167,,-0.201,0.98
96,Senate,14009,46,0,MS,200,0,1,"COCHRAN, William Thad",C000567,1937,,0.287,0.051,-311.37441,0.69565,858,150,,0.239,-0.046
96,Senate,12104,34,0,MO,100,0,1,"EAGLETON, Thomas Francis",E000004,1929,2007.0,-0.38,0.209,-304.97463,0.681,795,143,,-0.38,0.325
96,Senate,14501,34,0,MO,200,0,1,"DANFORTH, John Claggett",D000030,1936,,0.196,-0.641,-400.24719,0.637,889,213,,0.156,-0.593
96,Senate,12039,64,0,MT,100,0,1,"MELCHER, John",M000635,1924,,-0.329,0.398,-446.33413,0.593,853,230,,-0.232,0.147
96,Senate,14203,64,0,MT,100,0,1,"BAUCUS, Max Sieben",B000243,1941,,-0.212,0.017,-292.7095,0.713,866,129,,-0.319,-0.003
96,Senate,14512,35,0,NE,100,0,1,"ZORINSKY, Edward",Z000013,1928,1987.0,-0.095,0.995,-432.18018,0.624,916,224,,-0.037,0.856
96,Senate,14704,35,0,NE,100,0,1,"EXON, J. James",E000284,1921,2005.0,-0.214,0.868,-380.20251,0.654,894,165,,-0.214,0.977
96,Senate,1482,65,0,NV,100,0,1,"CANNON, Howard Walter",C000120,1912,2002.0,-0.211,0.495,-277.83354,0.707,800,121,,-0.228,0.599
96,Senate,14077,65,0,NV,200,0,1,"LAXALT, Paul Dominque",L000148,1922,,0.49,-0.146,-220.69791,0.766,826,91,,0.547,-0.024
96,Senate,14310,4,0,NH,100,0,1,"DURKIN, John Anthony",D000574,1936,2012.0,-0.43,0.171,-315.81934,0.66,759,150,,-0.312,-0.009
96,Senate,14706,4,0,NH,200,0,1,"HUMPHREY, Gordon John",H000951,1940,,0.589,0.032,-185.60384,0.813,896,76,,0.597,0.084
96,Senate,10147,12,0,NJ,100,0,1,"WILLIAMS, Harrison Arlington, Jr.",W000502,1919,2001.0,-0.344,-0.381,-185.69688,0.806,860,79,,-0.411,-0.396
96,Senate,14702,12,0,NJ,100,0,1,"BRADLEY, William Warren (Bill)",B001225,1943,,-0.313,-0.568,-195.2143,0.796,856,75,,-0.384,-0.497
