congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
100,Senate,1,1987-01-06,,,91,4,0.667,0.026,0.238,0.449,-10.34,,,,,"TO ADOPT S RES 23, A RESOLUTION TO ESTABLISH A SELECT COMMITTEE OF THE SENATE THAT WOULD INVESTIGATE THE ACTIONS OF THE NATIONAL SECURITY COUNCIL AND OTHER U.S. GOVERNMENT AGENCIES THAT MAY HAVE BEEN INVOLVED IN THE SALE OR SHIPMENT OF ARMS TO IRAN AND THE SUBSEQUENT CHANNELING OF THE PROCEEDS TO INSURGENCY FORCES IN NICARAGUA OR ANY OTHER COUNTRY."
100,Senate,2,1987-01-06,,,94,0,0.0,0.0,0.0,0.0,0.0,,,,,"TO ADOPT S RES 31, A RESOLUTION TO EXPRESS THE SENSE OF THE SENATE CONDEMNING THE CONTINUED SOVIET OCCUPATION OF AFGHANISTAN."
100,Senate,3,1987-01-21,,,18,82,0.193,0.41,-0.214,-0.414,-22.761,,,,,"TO AMEND IN THE NATURE OF A SUBSTITUTE HR 1, THE CLEAN WATER ACT REAUTHORIZATION, TO REDUCE TO $12 BILLION FEDERAL AID FOR SEWAGE TREATMENT FACILITIES CONSTRUCTION."
100,Senate,4,1987-01-21,,,94,7,0.542,-0.247,0.731,0.071,-5.93,,,,,"TO ADOPT HR 1, THE CLEAN WATER ACT REAUTHORIZATION, A BILL TO PROVIDE FUNDS FOR SEWAGE TREATMENT FACILITY CONSTRUCTION AND OTHER WATER POLLUTION CONTROL PROGRAMS."
100,Senate,5,1987-01-21,,,99,0,0.0,0.0,0.0,0.0,0.0,,,,,"TO ADOPT SC RES 8, A RESOLUTION TO EXPRESS THE SENSE OF THE SENATE TO PROTEST CONTINUED HUMAN RIGHTS ABUSES IN THE SOVIET UNION."
100,Senate,6,1987-01-28,,,58,36,0.13,-0.767,0.242,0.081,-25.301,,,,,"TO TABLE THE SYMMS, ID AMENDMENT TO S 80, THE SENATE COMMITTEES AUTHORIZATION, WHICH WOULD DECREASE APPROPRIATIONS TO ALL SENATE COMMITTEES BY FIVE PERCENT."
100,Senate,7,1987-01-29,,,2,96,0.0,0.0,0.0,0.0,0.0,,,,,"TO AMEND IN THE NATURE OF A SUBSTITUTE SJ RES 34, THE FEDERAL PAY INCREASE DISAPPROVAL, TO SET HIGHER SALARY LEVELS FOR MEMBERS OF CONGRESS, BUT PROHIBIT THEM FROM ACCEPTING HONORARIA."
100,Senate,8,1987-01-29,,,28,68,0.872,-0.015,-0.058,0.17,-58.012,,,,,"TO AMEND IN THE NATURE OF A SUBSTITUTE SJ RES 34, THE FEDERAL PAY INCREASE DISAPPROVAL, TO DISAPPROVE THE PAY RAISE FOR MEMBERS OF CONGRESS, BUT RETAIN INCREASES FOR OTHER FEDERAL OFFICERS."
100,Senate,9,1987-01-29,,,92,7,-0.113,-0.994,-0.049,-0.452,-22.731,,,,,"TO ADOPT SJ RES 34, THE FEDERAL PAY INCREASE DISAPPROVAL, A RESOLUTION TO DISAPPROVE PRESIDENTIAL RECOMMENDATIONS CONCERNING THE PAY OF CERTAIN OFFICERS AND EMPLOYEES OF THE FEDERAL GOVERNMENT."
100,Senate,10,1987-01-29,,,67,23,0.203,0.17,0.162,0.287,-30.173,,,,,"TO WAIVE THE SPENDING LIMITATIONS OF THE 1985 BALANCED BUDGET AND EMERGENCY DEFICIT CONTROL ACT, TO ALLOW FOR CONSIDERATION OF HJ RES 102, THE EMERGENCY FOOD AND SHELTER PROGRAM APPROPRIATIONS. MOTION PASSED BY TWO-THIRDS OF THOSE VOTING AND PRESENT."
100,Senate,11,1987-01-29,,,2,83,0.0,0.0,0.0,0.0,0.0,,,,,"TO TABLE THE MURKOWSKI, AK AMENDMENT TO HJ RES 102, THE EMERGENCY FOOD AND SHELTER PROGRAM APPROPRIATIONS, WHICH WOULD ALLOW THE VETERANS' ADMINISTRATION TO CONTRACT OUT PSYCHIATRIC RESIDENTIAL CARE FOR SOME CHRONICALLY MENTALLY ILL VETERANS."
100,Senate,12,1987-01-29,,,81,7,0.537,0.08,0.678,-0.589,-6.307,,,,,"TO ADOPT HJ RES 102, THE EMERGENCY FOOD AND SHELTER PROGRAM APPROPRIATIONS, A RESOLUTION TO PROVIDE EMERGENCY ADDITIONAL FUNDS FOR THE PROGRAM BY THE TRANSFER OF $50 MILLION FROM THE FEDERAL EMERGENCY MANAGEMENT AGENCY."
100,Senate,13,1987-02-02,,,91,1,0.0,0.0,0.0,0.0,0.0,,,,,"TO ADOPT S RES 85, THE BUDGET ACT WAIVER, A RESOLUTION TO WAIVE PROHIBITIONS OF THE CONGRESSIONAL BUDGET ACT OF 1974 RESTRICTING CONSIDERATION OF NEW BUDGET ITEMS BEFORE PASSAGE OF A BUDGET RESOLUTION, SO THAT S 387, THE FEDERAL-AID HIGHWAY ACT OF 1987, CAN BE CONSIDERED."
100,Senate,14,1987-02-03,,,66,33,0.41,-0.912,-0.079,-0.413,-50.257,,,,,"TO AMEND S 387, THE FEDERAL-AID HIGHWAY ACT OF 1987, TO ALLOW THE STATES TO RAISE THE MAXIMUM SPEED LIMIT ON RURAL INTERSTATE HIGHWAYS FROM 55 TO 65 MILES PER HOUR."
100,Senate,15,1987-02-03,,,57,40,0.179,-0.415,-0.05,-0.343,-54.022,,,,,"TO TABLE THE STAFFORD, VT AMENDMENT TO S 387, THE FEDERAL-AID HIGHWAY ACT OF 1987, WHICH WOULD ALLOW CASH PAYMENTS FOR BILLBOARD REMOVAL AUTHORIZED BY THE HIGHWAY BEAUTIFICATION ACT OF 1965, RESTRICT CONSTRUCTION OF NEW BILLBOARDS IN AREAS THAT WERE DEEMED ENVIRONMENTALLY SENSITIVE, STOP ABUSES OF TREE CUTTING AND VEGETATION REMOVAL ON INTERSTATE AND PRIMARY HIGHWAY RIGHTS-OF-WAY, AND DELAY REMOVAL OF ILLEGAL AND COMPENSATED NON-CONFORMING SIGNS."
100,Senate,16,1987-02-03,,,65,33,-0.572,-0.277,-0.063,0.162,-59.86,,,,,"TO TABLE THE COCHRAN, MS AMENDMENT TO S 387, THE FEDERAL-AID HIGHWAY ACT OF 1987, WHICH WOULD RESTRICT THE USE OF IMPORTED CEMENT AND CEMENT CLINKER IN THE FEDERAL HIGHWAY CONSTRUCTION PROJECTS."
100,Senate,17,1987-02-03,,,58,40,-0.344,-0.939,0.182,-0.474,-22.95,,,,,"TO AMEND IN A PERFECTING NATURE THE DANFORTH, MO AMENDMENT TO S 387, THE FEDERAL-AID HIGHWAY ACT OF 1987, TO EXPRESS THE SENSE OF THE SENATE THAT LEGISLATION CONCERNING THE NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION SHOULD BE CONSIDERED IMMEDIATELY BY THE COMMITTEE ON COMMERCE, SCIENCE, AND TRANSPORTATION AND REPORTED BACK TO THE SENATE BY APRIL 1, 1987."
